id,carat,cut,color,clarity,depth,table,x,y,z,price
59,0.61,Good,I,VS2,63.7,60.0,5.34,5.28,3.38,1239
60,1.0,Premium,H,SI1,62.8,58.0,6.38,6.36,4.0,4816
61,1.21,Ideal,D,VS1,61.0,57.0,6.88,6.85,4.19,10335
62,0.72,Ideal,E,VVS1,61.4,57.0,5.74,5.79,3.54,4864
63,0.34,Ideal,E,SI1,62.0,57.0,4.48,4.46,2.77,765
64,0.38,Ideal,E,VS1,62.6,53.5,4.61,4.66,2.9,979
65,0.32,Premium,G,VVS2,61.6,60.0,4.37,4.4,2.7,730
66,0.82,Ideal,F,VS2,61.9,57.0,5.99,5.96,3.7,3453
67,1.03,Very Good,G,VS1,62.2,57.0,6.42,6.47,4.01,6539
68,1.51,Good,I,VS1,64.0,60.0,7.1,7.19,4.57,8975
69,1.2,Premium,G,SI2,59.9,59.0,6.92,6.98,4.16,5250
70,0.41,Premium,F,VS2,62.6,58.0,4.81,4.75,2.99,1107
71,1.01,Premium,F,VVS2,60.4,59.0,6.49,6.45,3.91,9231
72,0.54,Ideal,F,VS1,62.5,56.0,5.18,5.22,3.25,1819
73,0.71,Ideal,E,SI2,62.7,56.0,5.68,5.71,3.57,2550
74,0.3,Premium,G,VVS1,61.3,58.0,4.29,4.33,2.64,737
75,0.35,Ideal,F,VS2,61.4,54.0,4.54,4.58,2.8,706
76,1.0,Fair,F,SI1,64.8,59.0,6.29,6.24,4.06,5292
77,1.17,Premium,H,VS2,62.4,57.0,6.74,6.69,4.19,6163
78,2.22,Ideal,I,VS2,61.3,56.0,8.36,8.45,5.15,18363
79,0.79,Premium,E,SI2,61.0,58.0,5.96,5.9,3.62,2868
80,0.61,Ideal,F,VS2,61.5,54.0,5.48,5.51,3.38,2306
81,1.09,Ideal,G,VS2,61.2,56.0,6.62,6.64,4.06,7357
82,1.11,Very Good,J,VS1,59.9,56.0,6.8,6.77,4.07,5576
83,0.7,Premium,G,VS1,58.3,58.0,5.9,5.86,3.43,2459
84,1.1,Ideal,I,VS2,61.8,56.0,6.65,6.6,4.1,4962
85,1.1,Premium,G,SI1,59.6,60.0,6.74,6.7,4.0,4712
86,0.34,Ideal,F,VS1,62.1,57.0,4.49,4.53,2.8,745
87,0.35,Premium,F,VS1,60.5,58.0,4.59,4.57,2.77,984
88,0.35,Ideal,H,SI1,62.3,57.0,4.5,4.55,2.82,491
89,0.3,Ideal,D,SI1,62.1,57.0,4.25,4.28,2.65,524
90,0.72,Very Good,J,SI1,57.6,63.0,5.89,5.95,3.41,2123
91,0.79,Premium,F,SI2,62.2,57.0,5.94,5.9,3.68,2555
92,1.2,Very Good,D,SI2,63.2,60.0,6.65,6.54,4.17,5174
93,0.52,Very Good,G,VS2,63.2,58.0,5.12,5.1,3.23,1577
94,1.04,Ideal,G,SI2,60.7,57.0,6.61,6.51,3.98,4455
95,0.43,Good,G,SI1,63.6,55.0,4.83,4.79,3.06,903
96,0.92,Premium,D,SI2,62.5,55.0,6.21,6.18,3.87,4150
97,0.59,Very Good,F,IF,62.8,56.0,5.31,5.36,3.35,2554
98,0.52,Ideal,G,VS1,61.8,55.0,5.17,5.21,3.21,1689
99,1.2,Very Good,H,VS1,60.2,57.0,6.88,6.95,4.16,8039
100,0.9,Very Good,I,VS2,62.1,61.0,6.08,6.12,3.79,3535
101,0.3,Good,F,SI1,63.6,55.0,4.33,4.28,2.74,641
102,0.5,Very Good,H,VS2,62.6,56.0,4.99,5.11,3.16,1349
103,1.15,Premium,G,VVS1,60.8,58.0,6.77,6.74,4.11,9025
104,1.01,Premium,D,SI2,61.7,57.0,6.49,6.44,3.99,5006
105,0.27,Ideal,H,VS2,60.5,57.0,4.19,4.17,2.53,509
106,1.5,Good,E,SI1,63.0,54.0,7.19,7.26,4.55,11368
107,1.66,Premium,J,VVS2,62.6,59.0,7.58,7.54,4.73,10062
108,1.88,Good,J,SI2,57.9,59.0,8.16,8.11,4.71,8048
109,0.54,Very Good,I,SI1,63.2,57.0,5.17,5.21,3.28,1135
110,0.33,Premium,G,VVS1,62.8,59.0,4.44,4.38,2.77,1114
111,1.5,Premium,G,VS2,60.5,59.0,7.39,7.35,4.46,13112
112,0.73,Ideal,G,SI1,61.7,57.0,5.78,5.81,3.57,3089
113,0.52,Ideal,F,VVS1,61.2,56.0,5.19,5.21,3.18,2841
114,0.24,Very Good,D,VVS2,61.5,61.0,4.02,4.04,2.48,485
115,1.09,Ideal,E,VS2,60.6,57.0,6.66,6.67,4.04,8158
116,1.52,Ideal,G,VVS1,62.4,55.0,7.39,7.3,4.58,16104
117,0.58,Ideal,G,SI2,62.2,55.0,5.4,5.36,3.35,1343
118,0.52,Very Good,D,SI1,61.6,58.0,5.14,5.22,3.19,1429
119,0.73,Ideal,F,VS1,62.6,56.0,5.73,5.71,3.58,3211
120,0.71,Very Good,F,VS1,62.8,56.0,5.69,5.72,3.58,2889
121,0.82,Ideal,H,VVS2,61.4,56.0,6.01,6.05,3.71,3781
122,0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,3618
123,0.74,Ideal,G,VS1,61.5,56.0,5.79,5.82,3.57,3572
124,1.7,Ideal,G,VS2,61.3,57.0,7.6,7.67,4.68,15797
125,0.32,Ideal,F,VS2,62.4,55.0,4.43,4.41,2.76,828
126,1.01,Good,D,SI1,64.1,60.0,6.3,6.27,4.03,4909
127,1.01,Very Good,H,VS1,60.9,55.0,6.53,6.57,3.99,5687
128,0.71,Ideal,F,VS1,62.6,57.0,5.7,5.73,3.58,3199
129,1.23,Premium,G,SI1,62.5,59.0,6.84,6.77,4.25,6909
130,0.41,Ideal,F,VS1,62.0,57.0,4.76,4.73,2.94,1076
131,0.25,Premium,E,VVS2,61.5,59.0,4.02,4.04,2.48,576
132,0.72,Good,J,SI1,60.1,64.0,5.83,5.75,3.48,1663
133,1.07,Ideal,H,VS2,62.0,57.0,6.55,6.58,4.07,5820
134,1.21,Fair,H,SI1,69.6,55.0,6.49,6.42,4.49,3862
135,0.4,Very Good,F,SI1,62.8,59.0,4.71,4.72,2.96,737
136,0.9,Very Good,F,SI2,63.4,60.0,6.06,6.09,3.85,3465
137,1.02,Ideal,I,SI2,62.7,57.0,6.43,6.4,4.02,3913
138,0.71,Premium,E,SI2,60.5,59.0,5.78,5.75,3.49,2340
139,1.04,Premium,G,SI2,60.9,58.0,6.58,6.52,3.99,4277
140,1.21,Very Good,J,VS2,60.9,58.0,6.86,6.91,4.19,4816
141,1.21,Ideal,F,VS2,62.4,59.0,6.82,6.77,4.24,8691
142,0.33,Premium,D,VS2,61.1,56.0,4.54,4.5,2.76,1069
143,0.58,Premium,F,SI2,63.0,56.0,5.34,5.26,3.34,1226
144,1.0,Good,E,SI1,61.1,58.0,6.43,6.41,3.92,6275
145,0.5,Very Good,G,VS2,60.9,58.0,5.08,5.1,3.1,1351
146,0.32,Ideal,E,VS2,62.1,55.0,4.43,4.4,2.74,768
147,1.01,Very Good,H,SI1,63.0,57.0,6.34,6.36,4.0,5172
148,0.34,Ideal,D,VS2,61.4,56.0,4.5,4.53,2.77,805
149,1.51,Ideal,D,SI1,59.5,57.0,7.56,7.46,4.47,12738
150,1.01,Premium,G,VVS2,63.0,61.0,6.36,6.34,4.0,7665
151,1.5,Very Good,F,SI1,62.8,56.0,7.26,7.33,4.58,9904
152,0.32,Premium,G,VS2,62.1,60.0,4.39,4.34,2.71,720
153,0.62,Ideal,G,VS1,62.4,57.0,5.44,5.46,3.4,2178
154,1.2,Premium,E,VVS2,61.4,56.0,6.94,6.83,4.23,11435
155,0.3,Premium,E,VVS1,61.3,59.0,4.28,4.33,2.64,895
156,0.41,Premium,H,SI1,62.6,59.0,4.77,4.72,2.97,876
157,0.51,Ideal,F,VVS2,61.9,56.0,5.09,5.14,3.16,2098
158,1.16,Ideal,G,IF,62.3,55.0,6.79,6.73,4.21,10082
159,1.01,Premium,G,VS2,61.6,60.0,6.51,6.42,3.98,6108
160,0.79,Ideal,H,VVS2,62.4,56.0,5.91,5.94,3.7,3417
161,0.37,Premium,E,VS2,61.1,57.0,4.66,4.63,2.84,1041
162,1.07,Premium,H,SI1,59.2,61.0,6.67,6.65,3.94,5237
163,0.31,Premium,H,VS2,62.2,59.0,4.38,4.34,2.71,628
164,1.54,Very Good,H,VS2,62.1,62.0,7.31,7.38,4.56,11527
165,1.27,Very Good,H,VS2,59.2,58.0,7.07,7.15,4.21,7176
166,1.03,Premium,E,SI2,61.8,59.0,6.42,6.47,3.98,4758
167,0.42,Very Good,E,SI2,62.9,56.0,4.77,4.8,3.01,700
168,0.52,Ideal,F,VVS2,62.5,57.0,5.15,5.19,3.23,2064
169,0.34,Ideal,F,VVS1,61.6,56.0,4.5,4.53,2.78,1174
170,0.57,Premium,I,VVS1,62.1,58.0,5.25,5.32,3.28,1608
171,1.18,Ideal,D,SI1,61.9,55.0,6.8,6.76,4.2,7216
172,0.4,Premium,D,VS2,61.7,59.0,4.73,4.76,2.93,982
173,1.06,Ideal,I,VS1,62.0,55.0,6.55,6.58,4.07,5577
174,0.8,Good,E,VS1,60.2,54.0,6.04,6.01,3.63,4444
175,0.32,Premium,E,VVS1,61.8,59.0,4.39,4.35,2.7,1020
176,0.26,Ideal,H,VVS2,62.5,54.0,4.11,4.14,2.58,508
177,1.74,Premium,D,SI2,61.9,58.0,7.73,7.67,4.77,12052
178,0.7,Premium,D,VS1,61.6,61.0,5.66,5.61,3.47,3001
179,0.9,Very Good,I,SI2,63.5,56.0,6.17,6.07,3.88,2826
180,1.63,Very Good,E,VS2,61.8,58.0,7.49,7.57,4.65,13555
181,0.51,Premium,F,SI1,59.4,60.0,5.19,5.21,3.09,1308
182,0.42,Ideal,E,VVS1,59.7,56.0,4.88,4.91,2.92,1307
183,0.41,Ideal,F,SI2,61.6,54.0,4.78,4.8,2.95,612
184,0.31,Ideal,I,VVS1,61.3,56.0,4.36,4.38,2.68,557
185,0.45,Ideal,I,VS1,62.1,55.0,4.9,4.92,3.05,825
186,1.07,Premium,G,VS2,62.5,57.0,6.58,6.5,4.09,6644
187,0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,1007
188,1.62,Ideal,F,VS1,61.7,55.0,7.58,7.53,4.66,14386
189,0.33,Ideal,D,VS2,60.9,55.0,4.46,4.5,2.73,781
190,0.33,Ideal,G,VS1,62.1,56.0,4.42,4.4,2.74,854
191,1.01,Ideal,G,VS2,60.6,58.0,6.44,6.5,3.92,6295
192,1.04,Premium,F,SI1,62.5,60.0,6.46,6.43,4.03,5724
193,0.32,Ideal,E,VS2,62.3,56.0,4.38,4.41,2.74,702
194,1.02,Very Good,H,SI2,62.6,60.0,6.3,6.38,3.97,4229
195,1.01,Ideal,G,VS2,60.8,59.0,6.52,6.5,3.96,6019
196,1.0,Fair,F,SI1,67.1,57.0,6.06,6.1,4.08,4328
197,1.07,Very Good,E,SI2,61.6,56.0,6.54,6.6,4.05,4824
198,0.32,Premium,G,VS2,61.7,60.0,4.4,4.32,2.69,720
199,0.51,Ideal,G,VS1,61.7,56.0,5.1,5.14,3.16,1656
200,0.32,Ideal,F,VS2,62.6,57.0,4.41,4.37,2.75,707
201,2.15,Ideal,I,SI1,62.5,57.0,8.2,8.16,5.11,14534
202,0.7,Very Good,E,SI1,61.7,62.0,5.64,5.68,3.49,2569
203,1.71,Very Good,G,VS2,62.5,58.0,7.56,7.66,4.76,15829
204,1.22,Very Good,G,SI1,62.4,57.0,6.75,6.8,4.23,6704
205,0.56,Ideal,F,VS2,61.6,56.0,5.28,5.31,3.26,1672
206,0.33,Very Good,E,SI1,60.6,60.0,4.41,4.44,2.68,579
207,1.7,Ideal,J,VS2,60.5,58.0,7.73,7.74,4.68,10002
208,0.51,Ideal,D,VS1,60.7,57.0,5.18,5.23,3.16,1826
209,1.0,Premium,F,VS2,60.5,59.0,6.57,6.39,3.92,6640
210,0.4,Ideal,H,VS1,62.7,59.0,4.74,4.7,2.96,1017
211,0.44,Ideal,E,VVS1,61.1,56.0,4.91,4.94,3.01,1924
212,0.5,Fair,E,VS2,65.4,57.0,5.01,4.81,3.21,1397
213,1.0,Premium,J,SI1,61.9,62.0,6.36,6.33,3.93,3528
214,1.01,Ideal,F,SI2,61.3,57.0,6.4,6.35,3.91,3777
215,0.31,Very Good,G,SI2,63.2,55.0,4.33,4.31,2.73,523
216,1.13,Ideal,F,SI2,61.8,57.0,6.71,6.68,4.14,5232
217,1.52,Ideal,F,VS2,62.8,55.0,7.37,7.28,4.6,14038
218,0.72,Ideal,I,VVS2,61.3,56.0,5.77,5.8,3.55,2591
219,0.32,Premium,I,VS2,62.2,59.0,4.35,4.37,2.71,449
220,1.16,Ideal,D,SI2,62.5,56.0,6.7,6.8,4.23,5615
221,0.35,Very Good,E,IF,57.9,56.0,4.71,4.75,2.74,1025
222,0.31,Ideal,I,IF,61.7,55.0,4.36,4.39,2.7,635
223,2.25,Good,J,SI1,62.4,61.0,8.29,8.35,5.19,15287
224,0.32,Ideal,G,SI1,62.6,55.0,4.38,4.41,2.75,445
225,0.35,Ideal,H,IF,60.9,57.0,4.58,4.6,2.8,1028
226,1.06,Very Good,E,SI1,59.6,57.0,6.62,6.67,3.96,5328
227,1.07,Ideal,F,VVS2,62.3,57.0,6.56,6.58,4.09,10061
228,0.4,Good,E,SI2,63.9,57.0,4.65,4.71,2.99,622
229,0.3,Ideal,E,VVS2,62.3,57.0,4.29,4.32,2.68,766
230,1.06,Premium,H,SI1,61.0,58.0,6.61,6.57,4.02,5075
231,0.3,Good,D,VS1,64.3,56.0,4.22,4.27,2.73,610
232,0.5,Very Good,F,SI2,61.4,61.0,5.09,5.14,3.14,1068
233,1.5,Premium,G,SI2,60.7,61.0,7.36,7.33,4.46,8736
234,0.35,Ideal,I,IF,61.5,55.0,4.53,4.57,2.8,715
235,2.02,Fair,J,SI2,67.5,59.0,7.76,7.65,5.2,9095
236,2.18,Very Good,G,SI2,61.0,60.0,8.29,8.33,5.07,17475
237,0.8,Very Good,H,SI2,62.7,57.0,5.88,5.95,3.71,2294
238,0.4,Premium,F,SI1,62.2,57.0,4.72,4.67,2.92,945
239,0.73,Ideal,E,SI2,62.1,56.0,5.74,5.79,3.58,2467
240,0.92,Ideal,D,SI2,60.3,56.0,6.32,6.35,3.82,3997
241,1.0,Good,D,VS2,63.1,56.0,6.36,6.4,4.02,7114
242,1.5,Premium,D,I1,62.4,60.0,7.37,7.19,4.54,3780
243,2.01,Good,G,SI1,60.3,60.0,8.07,8.18,4.9,18625
244,0.71,Very Good,F,VS2,62.8,57.0,5.64,5.69,3.56,2777
245,0.52,Very Good,D,SI1,63.8,56.0,5.06,5.1,3.24,1452
246,1.0,Premium,D,SI1,61.3,54.0,6.39,6.37,3.91,5488
247,0.35,Ideal,D,VS2,62.4,55.0,4.48,4.52,2.81,829
248,0.4,Ideal,E,VVS1,61.5,56.0,4.75,4.78,2.93,1333
249,0.35,Ideal,D,SI2,62.4,55.0,4.53,4.54,2.83,522
250,0.4,Ideal,G,SI2,62.1,57.0,4.72,4.75,2.94,648
251,0.55,Premium,F,SI1,60.7,57.0,5.3,5.27,3.21,1415
252,0.92,Ideal,E,SI2,62.6,57.0,6.22,6.18,3.88,4309
253,1.01,Premium,H,VS2,62.6,61.0,6.33,6.29,3.95,5050
254,1.01,Ideal,G,VVS2,62.2,54.0,6.41,6.48,4.01,8104
255,1.19,Premium,H,SI1,62.7,56.0,6.76,6.7,4.22,5802
256,0.91,Fair,F,SI2,64.9,56.0,6.08,6.05,3.94,3210
257,0.4,Good,F,VVS1,61.9,61.0,4.71,4.73,2.92,1349
258,1.1,Premium,G,SI2,61.4,59.0,6.71,6.59,4.08,4650
259,1.51,Good,H,SI1,61.5,61.0,7.29,7.34,4.5,10277
260,1.01,Very Good,F,SI2,62.5,61.0,6.33,6.37,3.97,3945
261,0.8,Ideal,I,VS1,62.2,58.0,5.92,5.95,3.69,2906
262,1.0,Good,F,I1,64.2,59.0,6.26,6.3,4.03,2717
263,0.92,Very Good,D,SI1,62.9,56.0,6.18,6.22,3.9,4676
264,1.01,Good,D,SI1,61.7,62.0,6.3,6.34,3.9,5443
265,1.13,Ideal,G,VVS1,61.2,57.0,6.72,6.65,4.09,9214
266,1.13,Ideal,H,SI2,60.6,57.0,6.79,6.77,4.11,3670
267,0.31,Ideal,G,IF,61.9,56.0,4.39,4.36,2.71,988
268,0.31,Ideal,F,VVS1,60.4,59.0,4.35,4.43,2.65,779
269,0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,752
270,2.01,Ideal,E,SI2,62.2,57.0,8.04,8.09,5.02,17688
271,0.7,Ideal,F,SI1,62.1,56.0,5.67,5.65,3.51,2596
272,0.56,Ideal,G,VS1,62.2,55.0,5.31,5.27,3.29,1915
273,1.02,Premium,H,VS2,61.2,58.0,6.47,6.5,3.97,5217
274,0.55,Ideal,F,VS2,61.3,54.0,5.27,5.33,3.25,1649
275,0.53,Premium,D,VS2,62.4,59.0,5.18,5.14,3.22,1877
276,0.7,Good,H,VVS2,62.1,64.0,5.62,5.65,3.5,2767
277,0.76,Ideal,F,SI1,60.1,57.0,5.95,5.99,3.59,2607
278,0.42,Ideal,D,SI1,61.9,56.0,4.84,4.82,2.99,1040
279,0.53,Ideal,G,SI2,59.9,57.0,5.25,5.3,3.16,1132
280,0.74,Ideal,D,VS2,62.2,56.0,5.79,5.81,3.61,3454
281,1.08,Ideal,E,SI1,62.6,57.0,6.53,6.56,4.1,5096
282,0.61,Ideal,H,VS1,60.8,56.0,5.51,5.47,3.34,2053
283,1.12,Good,J,SI1,63.7,61.0,6.5,6.54,4.15,3880
284,0.3,Premium,H,SI2,60.9,59.0,4.35,4.32,2.64,473
285,0.53,Ideal,F,VVS1,61.6,56.0,5.24,5.18,3.21,2922
286,0.71,Ideal,G,SI1,62.8,56.0,5.72,5.75,3.6,2342
287,0.91,Very Good,D,SI1,63.1,59.0,6.14,6.1,3.86,4586
288,0.29,Ideal,F,VVS1,60.9,57.0,4.32,4.29,2.62,858
289,1.51,Good,J,SI1,62.4,64.0,7.31,7.23,4.54,7162
290,0.51,Ideal,H,SI2,62.0,55.0,5.12,5.14,3.18,1435
291,0.92,Good,E,SI1,63.3,57.0,6.17,6.22,3.92,3649
292,0.71,Good,F,SI1,64.3,58.0,5.61,5.55,3.59,2258
293,0.3,Ideal,E,VS2,62.6,56.0,4.29,4.34,2.7,658
294,1.7,Very Good,G,VS2,63.1,57.0,7.53,7.62,4.78,15937
295,0.3,Good,G,VS1,63.3,56.0,4.28,4.31,2.72,565
296,0.7,Fair,D,SI2,67.8,58.0,5.51,5.44,3.71,1770
297,0.4,Ideal,H,VVS2,62.4,57.0,4.73,4.69,2.94,1125
298,1.23,Ideal,H,VS2,61.7,56.0,6.92,6.88,4.26,7687
299,1.01,Very Good,G,VS2,62.4,58.0,6.42,6.4,4.0,6019
300,1.35,Ideal,J,VS2,61.4,57.0,7.1,7.13,4.37,5862
301,0.59,Good,F,SI1,59.1,58.0,5.46,5.5,3.24,1361
302,1.0,Fair,D,SI1,66.3,58.0,6.15,6.04,4.04,4704
303,0.72,Ideal,E,VVS2,62.0,56.0,5.74,5.77,3.57,3874
304,0.4,Very Good,H,VVS1,60.5,59.0,4.73,4.76,2.87,900
305,0.51,Premium,H,VS2,60.9,60.0,5.19,5.16,3.15,1202
306,0.54,Ideal,E,SI2,60.6,57.0,5.25,5.28,3.19,1246
307,0.52,Ideal,H,VS2,61.6,55.0,5.19,5.24,3.21,1401
308,1.02,Ideal,D,SI1,61.3,56.0,6.48,6.53,3.99,6157
309,0.5,Good,F,VS1,61.4,61.0,5.03,5.04,3.09,1613
310,0.63,Very Good,G,SI2,63.3,59.0,5.51,5.31,3.45,1105
311,1.54,Fair,I,SI2,65.0,56.0,7.22,7.14,4.67,6375
312,0.41,Very Good,E,VS1,62.9,56.0,4.72,4.78,2.99,931
313,0.71,Ideal,G,SI2,62.3,56.0,5.68,5.72,3.55,2266
314,0.7,Premium,F,SI2,61.5,58.0,5.74,5.67,3.51,2043
315,0.91,Premium,F,VS2,62.2,58.0,6.17,6.21,3.85,4979
316,0.83,Very Good,I,VS2,62.0,55.0,6.03,6.06,3.74,2915
317,1.29,Very Good,G,VS1,62.3,58.0,6.98,7.01,4.36,9105
318,1.62,Very Good,H,SI1,62.8,59.0,7.4,7.45,4.66,10521
319,2.0,Very Good,F,SI1,63.6,58.0,7.91,7.98,5.05,16580
320,2.0,Ideal,H,VS2,61.6,57.0,8.11,8.08,4.99,13531
321,0.43,Ideal,F,VVS2,61.9,56.0,4.82,4.84,2.99,1169
322,0.51,Premium,F,VS2,62.3,60.0,5.1,5.07,3.17,1574
323,0.33,Very Good,E,SI1,62.7,56.0,4.39,4.45,2.77,579
324,0.26,Good,F,VS1,58.0,58.0,4.2,4.25,2.45,453
325,1.53,Premium,H,VS2,60.1,58.0,7.6,7.57,4.71,11087
326,1.01,Ideal,D,SI2,61.3,54.0,6.47,6.52,3.99,4916
327,0.53,Ideal,E,VS2,61.8,56.0,5.21,5.17,3.21,1801
328,1.0,Very Good,F,VVS1,61.1,57.0,6.36,6.51,3.93,9870
329,0.7,Very Good,D,VVS2,61.1,57.0,5.7,5.75,3.5,3622
330,1.02,Premium,F,VS1,61.9,58.0,6.45,6.5,4.01,7351
331,0.72,Ideal,G,VVS2,61.2,57.0,5.72,5.81,3.53,3126
332,0.27,Ideal,H,VS1,61.2,54.0,4.2,4.23,2.58,464
333,0.3,Ideal,F,VVS1,61.1,55.0,4.36,4.38,2.67,1041
334,0.72,Ideal,E,SI2,61.9,55.0,5.76,5.78,3.57,2398
335,0.5,Premium,E,VS2,62.6,60.0,5.03,5.0,3.14,1629
336,1.01,Very Good,F,SI2,60.0,59.0,6.48,6.61,3.93,4416
337,2.12,Ideal,H,SI2,61.4,57.0,8.28,8.24,5.07,12284
338,0.75,Ideal,H,SI1,62.9,57.0,5.75,5.8,3.63,2523
339,1.5,Fair,H,I1,66.6,54.0,7.05,7.01,4.68,4939
340,1.58,Ideal,I,VVS1,61.9,55.0,7.47,7.51,4.64,11435
341,1.53,Very Good,G,VS1,61.9,57.0,7.39,7.32,4.55,16219
342,2.02,Very Good,J,SI1,59.8,59.9,8.16,8.21,4.9,12598
343,0.55,Ideal,H,VS1,62.3,56.0,5.22,5.27,3.27,1634
344,0.31,Very Good,G,VS1,60.8,61.0,4.33,4.35,2.64,625
345,0.51,Very Good,H,VS1,60.7,56.0,5.16,5.2,3.15,1628
346,1.66,Ideal,F,SI2,62.6,59.0,7.53,7.57,4.73,10338
347,0.6,Ideal,F,VS1,61.9,55.0,5.4,5.42,3.35,2201
348,0.76,Ideal,D,VS1,61.7,56.0,5.84,5.87,3.61,4377
349,1.49,Very Good,F,I1,62.6,53.6,7.28,7.31,4.57,6064
350,0.7,Ideal,F,VS2,61.3,56.0,5.74,5.71,3.51,2717
351,1.26,Very Good,J,SI1,61.8,58.0,6.88,6.91,4.26,4989
352,0.5,Very Good,E,VS2,62.7,54.0,5.07,5.1,3.19,1624
