id,carat,cut,color,clarity,depth,table,x,y,z
32,0.7,Very Good,F,SI1,59.8,59.0,5.78,5.82,3.47
33,1.04,Ideal,G,VVS2,61.4,57.0,6.52,6.44,3.98
34,0.37,Very Good,D,SI1,61.0,62.0,4.61,4.64,2.82
35,1.51,Very Good,F,VVS2,61.4,58.0,7.31,7.34,4.5
36,0.43,Very Good,I,SI2,61.5,54.0,4.86,4.89,3.0
37,1.57,Very Good,I,VS2,60.2,58.0,7.51,7.57,4.54
38,0.41,Premium,H,VS1,62.6,60.0,4.77,4.75,2.98
39,0.4,Ideal,E,VS1,61.3,56.0,4.76,4.8,2.93
40,0.55,Premium,G,VS2,59.6,59.0,5.36,5.32,3.18
41,1.0,Premium,I,SI1,60.5,59.0,6.54,6.49,3.94
42,2.03,Ideal,J,SI1,62.6,55.0,8.06,8.1,5.06
43,0.5,Good,F,VVS2,58.5,62.0,5.23,5.27,3.07
44,1.58,Ideal,I,SI2,60.9,59.0,7.48,7.55,4.58
45,0.53,Ideal,F,SI2,62.4,54.0,5.19,5.22,3.25
46,1.21,Premium,I,VS2,62.2,59.0,6.79,6.85,4.24
47,0.8,Premium,G,SI2,62.1,55.0,5.96,5.9,3.68
48,0.55,Very Good,J,VS2,62.9,54.0,5.23,5.29,3.31
49,2.13,Premium,I,SI1,62.5,60.0,8.18,8.13,5.1
50,0.71,Ideal,E,VS2,61.8,57.0,5.7,5.73,3.53
51,1.51,Premium,G,VS2,61.1,58.0,7.42,7.38,4.45
52,0.5,Ideal,E,SI1,62.8,57.0,5.05,5.08,3.18
53,0.91,Ideal,I,SI2,61.6,57.0,6.23,6.24,3.84
54,1.01,Very Good,F,VVS2,61.8,58.0,6.44,6.48,3.99
55,1.5,Premium,I,VVS2,59.7,60.0,7.62,7.46,4.5
56,0.58,Ideal,I,SI1,61.4,55.0,5.37,5.42,3.31
57,0.38,Premium,F,SI1,62.0,58.0,4.6,4.63,2.86
58,0.79,Ideal,G,SI1,62.3,57.0,5.9,5.85,3.66
59,1.5,Good,F,SI2,61.2,63.0,7.33,7.41,4.51
60,1.01,Premium,G,VS2,61.2,58.0,6.49,6.46,3.96
61,2.01,Ideal,I,VS1,61.4,59.0,8.06,8.13,4.97
62,0.38,Good,H,SI2,63.4,57.0,4.58,4.63,2.92
63,1.51,Ideal,H,SI1,61.9,58.0,7.33,7.37,4.55
64,1.04,Premium,H,SI1,61.0,58.0,6.6,6.54,4.01
65,0.72,Ideal,G,VS1,60.4,57.0,5.81,5.84,3.52
66,0.3,Ideal,E,VVS2,62.4,54.0,4.31,4.34,2.7
67,0.3,Very Good,E,VVS2,62.9,55.0,4.25,4.27,2.68
68,1.17,Very Good,D,VS1,60.5,57.0,6.79,6.86,4.13
69,0.55,Good,F,IF,60.8,60.0,5.26,5.36,3.23
70,1.04,Ideal,F,VS2,60.1,59.0,6.59,6.63,3.97
71,1.22,Very Good,J,SI2,60.5,58.5,6.84,6.96,4.17
72,0.5,Ideal,D,VS2,61.9,59.0,5.07,5.1,3.15
73,0.72,Ideal,F,SI1,62.0,55.0,5.76,5.79,3.58
74,1.1,Ideal,G,VVS2,62.0,56.0,6.68,6.64,4.13
75,0.9,Good,H,VS1,64.1,57.0,6.07,6.04,3.88
76,1.3,Premium,F,VVS1,59.3,59.0,7.11,7.08,4.22
77,1.01,Very Good,G,VVS2,63.0,59.0,6.34,6.41,4.01
78,2.02,Very Good,I,VS2,58.8,57.0,8.21,8.29,4.85
79,1.21,Premium,J,VVS1,61.3,59.0,6.86,6.81,4.19
80,1.01,Very Good,I,VS2,60.9,59.0,6.42,6.45,3.92
81,1.51,Premium,F,VS1,60.0,60.0,7.42,7.39,4.44
82,1.01,Premium,D,SI1,58.1,61.0,6.66,6.59,3.85
83,1.23,Ideal,H,VVS1,61.4,56.0,6.89,6.91,4.24
84,0.39,Premium,E,VS2,61.4,58.0,4.73,4.68,2.89
85,0.7,Ideal,I,SI1,60.8,59.0,5.74,5.78,3.5
86,0.76,Ideal,J,SI1,61.9,53.0,5.85,5.92,3.64
87,0.71,Very Good,H,IF,60.2,61.0,5.76,5.8,3.48
88,1.19,Premium,E,VS1,59.8,58.0,7.01,6.94,4.17
89,1.23,Ideal,G,VS1,62.1,57.0,6.87,6.79,4.24
90,0.31,Ideal,F,VS2,62.0,56.0,4.35,4.39,2.71
91,0.99,Fair,I,SI2,68.1,56.0,6.21,6.06,4.18
92,1.0,Premium,F,SI2,62.8,57.0,6.44,6.37,4.02
93,0.32,Ideal,D,SI1,62.0,57.0,4.42,4.38,2.73
94,1.15,Ideal,F,VVS2,62.7,57.0,6.69,6.65,4.18
95,1.21,Ideal,I,SI1,60.6,55.0,6.92,6.87,4.18
96,1.31,Premium,J,VS2,62.0,59.0,7.04,6.97,4.34
97,0.53,Premium,G,SI1,61.3,58.0,5.21,5.16,3.18
98,0.4,Premium,E,SI2,62.9,59.0,4.69,4.66,2.94
99,0.31,Ideal,E,VVS2,61.7,56.0,4.33,4.36,2.68
100,0.77,Very Good,E,SI2,59.9,61.0,5.98,6.01,3.59
101,2.59,Ideal,J,VS1,61.7,56.0,8.83,8.77,5.43
102,0.9,Very Good,D,SI1,61.1,63.0,6.17,6.21,3.78
103,0.5,Ideal,G,VVS2,61.2,56.0,5.1,5.13,3.13
104,0.31,Good,G,VVS1,63.4,57.0,4.32,4.36,2.75
105,1.7,Premium,I,VS2,61.7,59.0,7.63,7.57,4.69
106,0.41,Ideal,F,VVS1,61.8,55.0,4.78,4.76,2.95
107,0.51,Ideal,D,VS2,61.7,55.0,5.14,5.11,3.16
108,1.0,Very Good,D,SI2,59.4,60.0,6.48,6.56,3.87
109,1.02,Ideal,E,VS2,60.7,56.0,6.58,6.61,4.0
110,2.2,Good,H,SI2,63.6,58.0,8.21,8.17,5.21
111,0.32,Ideal,F,VVS2,60.4,57.0,4.46,4.47,2.7
112,0.31,Premium,G,VVS1,58.0,62.0,4.47,4.42,2.58
113,0.7,Good,G,SI1,64.0,57.0,5.63,5.58,3.59
114,0.91,Premium,E,SI2,60.0,60.0,6.28,6.23,3.75
115,0.4,Premium,D,VS2,61.7,59.0,4.75,4.72,2.92
116,0.34,Premium,I,VS1,61.0,60.0,4.48,4.51,2.74
117,1.0,Premium,D,VVS2,59.9,61.0,6.5,6.42,3.87
118,0.34,Good,F,SI2,63.9,56.0,4.43,4.4,2.82
119,1.0,Good,D,SI1,60.4,64.0,6.39,6.3,3.83
120,0.5,Ideal,G,VS1,62.3,55.0,5.11,5.07,3.17
121,0.42,Premium,F,SI1,61.5,58.0,4.8,4.83,2.96
122,0.7,Very Good,E,VS1,61.9,61.0,5.59,5.65,3.48
123,0.41,Good,J,VS1,63.7,56.0,4.71,4.68,2.99
124,1.11,Ideal,D,VVS1,62.1,55.0,6.63,6.64,4.12
125,0.73,Ideal,D,VS2,62.7,53.0,5.76,5.79,3.62
126,1.23,Ideal,I,SI1,62.1,58.0,6.82,6.86,4.25
127,1.27,Ideal,H,SI1,59.8,57.0,7.08,7.01,4.22
128,0.75,Ideal,F,SI1,62.3,57.0,5.82,5.77,3.61
129,0.9,Very Good,E,SI1,63.2,54.0,6.1,6.17,3.88
130,0.32,Good,E,SI1,63.3,55.0,4.33,4.36,2.75
131,1.31,Ideal,I,VS1,61.8,55.0,7.03,7.05,4.35
132,0.72,Ideal,D,SI1,61.1,56.0,5.78,5.81,3.54
133,1.11,Very Good,F,VVS1,59.7,55.0,6.77,6.82,4.06
134,0.51,Ideal,E,SI1,61.1,56.0,5.17,5.2,3.17
135,1.5,Premium,H,SI1,61.6,58.0,7.33,7.38,4.53
136,0.92,Very Good,G,SI2,59.4,62.0,6.34,6.36,3.77
137,0.9,Premium,D,SI1,62.8,59.0,6.1,6.06,3.82
138,0.31,Premium,D,SI1,62.2,52.0,4.37,4.34,2.71
139,0.91,Premium,E,SI1,61.9,61.0,6.14,6.11,3.79
140,1.0,Ideal,F,VS2,61.7,58.0,6.37,6.43,3.95
141,1.53,Ideal,G,SI2,62.5,57.0,7.39,7.32,4.6
142,0.92,Ideal,H,SI2,58.5,57.0,6.37,6.34,3.72
143,0.3,Ideal,G,VVS1,61.4,56.0,4.34,4.32,2.66
144,0.32,Ideal,E,IF,61.9,56.0,4.42,4.4,2.73
145,1.01,Ideal,F,VS1,61.7,56.0,6.48,6.45,3.99
146,0.4,Premium,F,VS2,61.6,58.0,4.8,4.75,2.94
147,0.3,Premium,J,VS2,61.6,61.0,4.33,4.28,2.65
148,0.84,Good,G,VS2,63.6,59.0,5.89,5.94,3.76
149,1.02,Ideal,G,VVS2,62.7,57.0,6.41,6.45,4.03
150,0.91,Very Good,F,VVS2,62.6,59.0,6.1,6.16,3.84
151,1.01,Premium,F,SI1,60.6,58.0,6.54,6.49,3.95
152,0.53,Ideal,I,VS1,61.8,55.0,5.19,5.23,3.22
153,1.07,Premium,F,SI1,59.6,58.0,6.72,6.68,3.99
154,0.71,Premium,F,SI2,62.1,60.0,5.7,5.66,3.53
155,1.12,Ideal,H,SI2,62.4,54.0,6.65,6.68,4.16
156,1.01,Very Good,G,VS1,59.1,58.0,6.56,6.63,3.9
157,0.26,Ideal,F,VS2,62.3,56.0,4.1,4.12,2.56
158,1.61,Good,E,SI2,60.9,62.0,7.46,7.57,4.58
159,2.03,Ideal,G,SI2,62.6,56.0,8.15,8.1,5.08
160,0.59,Good,E,VS2,61.3,62.0,5.36,5.4,3.3
161,1.09,Ideal,E,SI2,61.7,58.0,6.58,6.62,4.07
162,1.73,Very Good,I,SI1,60.9,59.0,7.71,7.68,4.69
163,0.43,Premium,G,VS1,60.9,57.0,4.91,4.88,2.98
164,0.23,Ideal,E,VS2,62.6,57.0,3.88,3.92,2.44
165,1.01,Premium,F,VS2,62.1,60.0,6.43,6.36,3.97
166,0.4,Ideal,G,SI1,60.1,56.0,4.8,4.85,2.9
167,0.38,Ideal,G,SI1,61.3,56.0,4.67,4.63,2.85
168,0.57,Ideal,F,SI1,62.2,56.0,5.33,5.31,3.31
169,0.91,Fair,H,SI1,64.8,57.0,6.12,6.07,3.95
170,0.46,Premium,E,VS2,61.3,57.0,5.02,4.99,3.07
171,1.7,Ideal,I,VS1,63.0,55.0,7.75,7.54,4.76
172,0.4,Ideal,E,VS2,62.9,55.0,4.73,4.72,2.97
173,1.67,Ideal,H,VS1,61.8,55.9,7.57,7.6,4.69
174,0.71,Good,F,SI1,63.9,57.0,5.57,5.61,3.57
175,0.74,Premium,F,SI1,61.2,59.0,5.88,5.82,3.58
176,1.21,Premium,H,VS2,61.0,58.0,6.9,6.83,4.19
177,0.3,Ideal,E,VVS2,62.2,54.4,4.3,4.32,2.68
178,0.71,Good,D,VS1,59.2,56.0,5.84,5.85,3.46
179,0.72,Ideal,D,SI2,62.7,55.0,5.72,5.7,3.58
180,1.26,Very Good,H,SI1,62.1,57.0,6.88,6.94,4.29
181,1.35,Premium,H,SI1,62.4,58.0,7.03,6.95,4.36
182,0.77,Very Good,G,VS1,61.1,54.0,5.91,5.94,3.62
183,0.53,Very Good,H,SI2,61.4,57.0,5.21,5.25,3.21
184,0.7,Very Good,E,SI1,63.2,57.0,5.63,5.61,3.55
185,0.52,Ideal,E,VS2,59.5,57.0,5.27,5.25,3.13
186,1.51,Very Good,F,VS1,59.6,63.0,7.34,7.43,4.4
187,0.42,Ideal,G,VVS1,61.4,56.0,4.83,4.81,2.96
188,0.56,Premium,F,VS2,59.6,58.0,5.36,5.34,3.19
189,0.42,Ideal,G,VS1,61.4,56.0,4.85,4.82,2.97
190,0.81,Very Good,E,SI2,62.9,56.0,5.87,5.9,3.7
191,1.31,Ideal,F,SI1,62.4,57.0,6.96,6.88,4.32
192,0.4,Good,G,VS2,62.8,54.4,4.67,4.7,2.94
193,1.01,Very Good,I,SI1,63.3,59.0,6.26,6.22,3.95
194,0.77,Premium,G,VS2,61.3,60.0,5.91,5.81,3.59
195,2.0,Premium,J,I1,61.5,59.0,8.11,8.06,4.97
196,0.56,Ideal,D,VS2,60.9,56.0,5.32,5.35,3.25
197,0.35,Very Good,D,VVS2,60.0,58.0,4.57,4.59,2.75
198,1.0,Very Good,D,SI2,58.3,61.0,6.54,6.59,3.83
199,0.7,Very Good,E,SI2,60.2,64.0,5.67,5.7,3.42
200,0.31,Ideal,G,IF,61.0,56.0,4.39,4.37,2.67
201,1.01,Premium,H,SI2,59.4,62.0,6.47,6.43,3.83
202,0.4,Premium,E,SI1,60.9,60.0,4.75,4.77,2.9
203,0.5,Very Good,G,SI1,62.8,61.0,4.99,5.01,3.14
204,0.73,Ideal,G,SI1,60.1,57.0,5.87,5.91,3.54
205,1.1,Very Good,F,VS2,60.6,58.0,6.67,6.77,4.07
206,1.58,Ideal,E,VS1,62.6,56.0,7.41,7.44,4.65
207,1.58,Premium,I,VS1,61.1,59.0,7.52,7.44,4.57
208,0.9,Ideal,J,VS2,62.8,55.0,6.2,6.16,3.88
209,0.32,Ideal,G,VVS2,62.1,55.0,4.35,4.38,2.71
210,0.58,Ideal,D,VS2,61.2,54.0,5.4,5.42,3.31
211,1.7,Good,I,SI2,63.6,59.0,7.62,7.52,4.8
212,0.31,Premium,E,VS2,60.6,59.0,4.39,4.36,2.65
213,1.28,Ideal,H,SI1,62.4,56.0,6.93,6.91,4.32
214,0.3,Premium,E,VS2,61.6,58.0,4.33,4.31,2.66
215,0.38,Ideal,D,VS1,62.1,53.9,4.65,4.67,2.9
216,0.5,Premium,F,VS1,61.3,59.0,5.15,5.09,3.14
217,1.16,Very Good,H,VS2,63.0,57.0,6.64,6.66,4.19
218,0.38,Premium,G,SI1,61.4,61.0,4.66,4.62,2.85
219,1.09,Ideal,J,SI1,62.7,57.0,6.53,6.59,4.11
220,1.5,Very Good,E,SI1,63.2,59.0,7.24,7.2,4.56
221,0.31,Ideal,G,VS1,61.3,55.0,4.39,4.42,2.7
222,0.24,Very Good,E,VS1,60.1,57.0,4.08,4.1,2.46
223,0.72,Ideal,D,VS1,61.6,56.0,5.8,5.73,3.55
224,1.2,Ideal,I,SI2,62.5,56.0,6.8,6.7,4.22
225,1.02,Premium,H,VS1,62.1,57.0,6.46,6.42,4.0
226,0.71,Good,G,SI1,63.6,56.0,5.65,5.67,3.6
227,0.3,Ideal,D,SI1,61.6,57.0,4.28,4.32,2.65
228,1.03,Premium,G,VS2,62.3,57.0,6.51,6.43,4.03
229,1.83,Ideal,E,SI2,62.8,56.0,7.82,7.76,4.89
230,1.01,Fair,D,SI2,64.6,62.0,6.26,6.21,4.03
231,0.53,Premium,E,SI1,61.9,56.0,5.22,5.19,3.22
232,0.72,Very Good,D,SI2,61.3,59.0,5.74,5.78,3.53
233,1.01,Premium,F,VS1,60.8,59.0,6.45,6.41,3.91
234,1.02,Premium,H,SI2,61.3,57.0,6.51,6.45,3.97
235,1.54,Very Good,H,SI2,62.3,56.0,7.33,7.38,4.58
236,0.42,Ideal,H,SI2,62.0,54.0,4.83,4.85,3.0
237,0.55,Very Good,J,SI1,62.5,57.0,5.22,5.24,3.27
238,0.28,Very Good,D,VVS2,62.2,52.0,4.21,4.25,2.63
239,1.51,Premium,G,VS2,62.0,57.0,7.38,7.33,4.56
240,1.01,Very Good,F,SI2,63.1,57.0,6.37,6.3,4.0
241,0.51,Ideal,I,SI1,62.5,57.0,5.1,5.07,3.18
242,0.54,Very Good,H,SI1,63.3,57.0,5.22,5.15,3.28
243,1.14,Ideal,F,VVS2,61.4,57.0,6.76,6.72,4.14
244,0.34,Ideal,G,VS2,61.0,57.0,4.48,4.5,2.74
245,0.55,Ideal,F,VS2,61.1,56.0,5.31,5.27,3.23
246,1.21,Premium,F,SI1,60.0,60.0,6.96,6.91,4.16
247,1.58,Premium,H,SI2,60.4,58.0,7.6,7.52,4.57
248,1.18,Premium,H,VS2,61.1,60.0,6.8,6.76,4.14
249,0.38,Very Good,I,VVS1,63.5,57.0,4.6,4.63,2.93
250,0.74,Very Good,G,VVS2,61.3,56.0,5.85,5.9,3.6
251,1.2,Good,F,SI2,59.0,60.0,6.9,6.97,4.09
252,1.54,Premium,G,VS1,61.1,56.0,7.54,7.48,4.59
253,0.42,Ideal,G,VVS2,62.6,55.0,4.77,4.78,2.99
254,0.7,Premium,G,VS1,59.3,62.0,5.8,5.74,3.42
255,1.01,Premium,D,SI1,60.7,58.0,6.42,6.49,3.92
256,1.04,Premium,H,VVS2,59.1,60.0,6.66,6.6,3.92
257,0.51,Ideal,F,VS1,60.2,56.0,5.22,5.24,3.15
258,0.57,Ideal,G,VS2,61.6,57.0,5.32,5.36,3.29
259,0.31,Ideal,D,VVS2,61.9,57.0,4.35,4.31,2.68
260,1.01,Very Good,F,VS2,60.6,55.0,6.5,6.56,3.96
261,1.0,Premium,F,SI1,62.1,59.0,6.39,6.36,3.96
262,0.78,Ideal,H,VVS2,62.1,56.0,5.88,5.9,3.66
263,0.3,Ideal,H,VVS2,61.5,57.0,4.34,4.31,2.66
264,0.9,Good,G,SI1,57.7,62.0,6.29,6.23,3.61
265,0.9,Good,H,SI1,62.8,62.0,6.05,6.09,3.81
266,0.3,Premium,G,SI2,58.1,61.0,4.47,4.41,2.58
267,1.12,Premium,I,VS2,62.8,57.0,6.68,6.61,4.17
268,1.3,Premium,G,VS2,60.9,60.0,6.99,7.04,4.27
269,0.7,Premium,H,VVS1,59.2,60.0,5.87,5.78,3.45
270,1.25,Very Good,J,VS1,61.8,58.0,6.89,6.93,4.27
271,1.01,Ideal,E,SI2,61.1,57.0,6.52,6.48,3.97
272,0.4,Ideal,E,VS1,62.2,58.0,4.72,4.74,2.94
273,0.31,Good,E,VVS1,60.9,61.0,4.32,4.35,2.64
274,1.1,Premium,D,SI2,62.4,58.0,6.57,6.6,4.11
275,0.41,Premium,D,SI2,61.9,58.0,4.71,4.73,2.92
276,0.91,Ideal,G,SI1,62.5,56.0,6.19,6.22,3.88
277,1.0,Good,G,VS2,63.7,57.0,6.32,6.28,4.01
278,2.09,Ideal,I,VS2,62.5,56.0,8.13,8.17,5.1
279,1.0,Very Good,D,SI1,62.1,61.0,6.3,6.32,3.92
280,1.01,Fair,E,SI2,64.6,59.0,6.22,6.18,4.01
281,1.04,Premium,E,VS2,62.4,58.0,6.56,6.51,4.08
282,0.39,Ideal,F,VVS2,61.9,54.8,4.68,4.69,2.9
283,0.72,Very Good,E,SI1,62.6,59.0,5.66,5.71,3.56
284,1.26,Ideal,H,SI2,61.0,56.0,6.99,6.95,4.25
285,1.11,Premium,G,SI2,62.3,58.0,6.65,6.61,4.13
286,1.01,Good,F,VS2,60.8,61.0,6.42,6.45,3.91
287,1.04,Premium,H,SI1,59.5,58.0,6.67,6.58,3.94
288,0.3,Premium,F,VVS2,61.0,59.0,4.33,4.3,2.63
289,0.7,Very Good,E,VS2,62.9,56.0,5.61,5.67,3.55
290,0.41,Premium,E,VVS1,60.7,58.0,4.86,4.8,2.93
291,0.31,Ideal,E,VS2,62.6,56.0,4.33,4.3,2.7
292,0.34,Premium,E,SI2,61.7,58.0,4.5,4.54,2.79
293,0.49,Very Good,E,SI1,63.6,57.9,4.96,4.99,3.16
294,1.02,Very Good,E,SI2,63.0,57.0,6.39,6.44,4.04
295,0.72,Very Good,I,VS1,63.8,59.0,5.63,5.71,3.62
296,0.57,Good,G,VS2,58.2,66.0,5.34,5.45,3.14
297,1.03,Premium,H,SI1,62.2,60.0,6.43,6.4,3.99
298,1.2,Ideal,D,SI2,61.7,56.0,6.88,6.81,4.22
299,0.5,Good,G,VVS1,63.3,56.0,5.07,5.1,3.22
300,1.2,Very Good,I,SI1,61.7,56.0,6.82,6.76,4.19
301,1.01,Premium,H,VS1,61.2,61.0,6.44,6.41,3.93
302,0.6,Ideal,F,VS2,61.9,55.0,5.43,5.46,3.37
303,2.03,Premium,J,SI2,61.6,58.0,8.12,8.15,5.01
304,0.33,Very Good,E,VVS1,61.6,53.0,4.46,4.5,2.76
305,0.82,Premium,F,SI2,59.5,62.0,6.13,6.08,3.63
306,0.4,Ideal,F,VS1,62.0,56.0,4.73,4.75,2.94
307,0.44,Ideal,G,SI1,62.7,57.0,4.82,4.85,3.03
308,1.01,Premium,F,VS2,62.5,58.0,6.43,6.4,4.01
309,0.71,Good,H,SI1,64.0,61.0,5.61,5.54,3.57
310,0.37,Ideal,F,VS2,61.7,55.0,4.61,4.73,2.88
311,0.35,Ideal,E,VS1,61.2,56.0,4.53,4.55,2.78
312,0.31,Premium,G,VS1,62.1,58.0,4.31,4.36,2.69
313,2.03,Premium,I,SI2,63.0,56.0,8.12,8.05,5.09
314,0.24,Very Good,H,VVS2,60.7,58.0,4.04,4.07,2.46
315,1.03,Premium,F,SI1,61.5,59.0,6.49,6.42,3.97
316,0.32,Ideal,G,IF,62.2,53.0,4.41,4.43,2.75
317,1.46,Ideal,G,VS2,62.3,56.0,7.28,7.2,4.51
318,0.73,Fair,E,SI1,64.6,59.0,5.69,5.64,3.66
319,0.32,Ideal,E,VS2,61.9,56.0,4.4,4.36,2.71
320,0.38,Very Good,E,SI2,62.5,61.0,4.59,4.63,2.88
321,1.18,Ideal,E,VS1,61.4,57.0,6.77,6.81,4.17
322,0.42,Ideal,H,VVS1,62.8,57.0,4.79,4.79,3.01
323,1.43,Fair,E,SI2,66.0,57.0,7.02,7.0,4.63
324,0.32,Ideal,H,VVS2,61.2,56.0,4.4,4.43,2.7
325,1.0,Very Good,F,SI1,63.1,56.0,6.36,6.34,4.01
326,0.31,Ideal,H,VVS2,61.8,56.0,4.34,4.36,2.69
327,0.91,Premium,G,VS1,62.2,58.0,6.22,6.12,3.85
328,0.45,Good,E,SI1,63.9,57.0,4.86,4.81,3.09
329,1.22,Ideal,F,SI2,61.7,54.9,6.84,6.9,4.24
330,0.31,Ideal,D,VS2,62.2,57.0,4.31,4.34,2.69
331,0.32,Premium,D,SI1,58.9,60.0,4.49,4.47,2.64
332,1.56,Ideal,G,VS2,61.3,56.0,7.48,7.5,4.59
333,1.1,Good,F,SI2,60.5,61.0,6.61,6.67,4.02
334,0.41,Very Good,F,SI1,62.8,57.0,4.69,4.73,2.96
335,1.01,Premium,F,SI1,60.6,59.0,6.52,6.49,3.94
336,1.11,Ideal,E,SI1,61.4,58.0,6.66,6.62,4.08
337,0.73,Ideal,F,VVS2,62.2,54.0,5.8,5.75,3.59
338,0.72,Very Good,I,SI1,63.2,57.0,5.71,5.75,3.62
339,0.85,Ideal,D,SI1,61.9,56.0,6.03,6.09,3.75
340,2.74,Very Good,H,SI2,63.3,58.0,8.88,8.84,5.61
341,0.34,Very Good,G,SI1,63.4,57.0,4.45,4.42,2.81
342,0.53,Ideal,D,SI1,61.2,57.0,5.19,5.24,3.19
343,1.01,Very Good,D,SI1,61.5,61.0,6.37,6.47,3.95
344,0.7,Ideal,G,VVS1,61.9,58.0,5.67,5.74,3.53
345,1.01,Premium,G,VVS2,61.2,58.0,6.45,6.49,3.96
346,1.61,Premium,F,SI1,60.2,58.0,7.61,7.65,4.59
347,0.44,Premium,J,VS1,61.9,57.0,4.9,4.83,3.01
348,0.91,Fair,D,SI1,65.2,57.0,6.08,6.04,3.95
349,1.03,Premium,H,SI2,62.0,60.0,6.47,6.41,4.0
350,1.2,Very Good,E,SI1,61.8,56.0,6.75,6.82,4.19
351,0.52,Very Good,G,VS2,62.4,60.0,5.14,5.18,3.22
352,0.41,Ideal,G,VVS2,60.9,56.0,4.81,4.84,2.94
353,0.9,Premium,F,SI2,62.3,57.0,6.18,6.15,3.84
354,2.1,Ideal,H,SI1,62.9,57.0,8.19,8.12,5.13
355,0.5,Ideal,D,VS2,61.7,56.0,5.12,5.14,3.16
356,1.21,Ideal,H,VS2,63.0,57.0,6.73,6.7,4.23
357,0.32,Ideal,F,VS2,61.3,57.0,4.4,4.37,2.69
358,0.62,Premium,E,SI2,61.1,59.0,5.51,5.46,3.35
359,1.08,Good,J,SI2,63.2,59.0,6.4,6.57,4.1
360,0.72,Good,G,VS1,58.0,57.8,5.85,5.87,3.4
361,0.9,Very Good,H,VS1,63.0,55.0,6.18,6.13,3.88
362,0.96,Very Good,G,VS1,60.5,63.0,6.32,6.28,3.81
363,1.32,Good,I,VS1,59.2,58.0,7.14,7.18,4.24
364,1.0,Premium,H,SI1,62.7,59.0,6.37,6.3,3.97
365,0.92,Very Good,H,VS2,63.4,57.0,6.17,6.11,3.89
366,0.9,Very Good,F,SI1,59.1,59.0,6.3,6.35,3.74
367,1.54,Premium,F,VS2,62.4,59.0,7.43,7.38,4.62
368,0.41,Ideal,J,VS1,62.0,53.6,4.75,4.79,2.96
369,1.08,Premium,G,VS1,61.5,61.0,6.62,6.55,4.05
370,2.01,Good,J,SI1,59.6,61.0,8.08,8.14,4.83
371,0.7,Very Good,E,SI2,63.5,54.0,5.69,5.64,3.6
372,0.54,Ideal,H,VS1,61.0,56.0,5.25,5.27,3.21
373,2.3,Ideal,I,SI2,61.8,57.0,8.48,8.45,5.23
374,0.51,Very Good,F,VS1,62.5,54.0,5.13,5.15,3.21
375,0.9,Premium,H,VVS2,62.0,58.0,6.16,6.13,3.81
376,0.87,Premium,J,SI1,61.4,57.0,6.17,6.14,3.78
377,0.91,Premium,D,SI2,62.3,57.0,6.22,6.14,3.85
378,0.51,Good,E,SI1,63.2,61.0,5.05,5.08,3.2
379,1.15,Very Good,G,VVS2,58.4,59.0,6.84,6.92,4.02
